,fighter2,win_fighter2,lose_fighter2,draw_fighter2,nc_fighter2,reach_fighter2,SLpM_fighter2,SApM_fighter2,Str_Def_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,Sub_Avg_fighter2,win%_fighter2
1206,Brian Foster,18,5,0,0,"71""",3.3,1.63,65.0,3.67,60.0,1.8,78.26087
486,Brian Gassaway,29,20,2,1,,0.34,3.65,44.0,0.0,0.0,0.0,55.76923000000001
766,Brian Geraghty,24,17,1,0,,0.47,9.77,36.0,0.0,0.0,0.0,57.14285699999999
164,Brian Kelleher,19,9,0,0,"66""",5.06,5.98,54.0,1.29,28.0,0.7,67.85714
2318,Brian Melancon,7,3,0,0,"72""",4.18,3.64,64.0,2.02,100.0,0.0,70.0
90,Brian Ortega,14,0,0,1,"69""",3.65,5.27,56.0,0.22,14.0,1.8,93.333336
1191,Brian Stann,12,6,0,0,"74""",3.28,2.65,59.0,0.12,12.0,0.3,66.666664
2343,Bristol Marunde,12,9,0,0,"71""",1.42,4.4,47.0,1.6,33.0,0.0,57.14285699999999
2192,Brock Jardine,9,3,0,0,"73""",1.06,3.34,56.0,0.0,0.0,0.8,75.0
1103,Brock Larson,33,6,0,0,"71""",1.39,1.5,55.0,2.67,34.0,2.0,84.61539
866,Brock Lesnar,5,3,0,1,"81""",3.53,2.11,50.0,3.9,55.0,0.5,55.55555699999999
955,Brodie Farber,14,6,0,0,,1.69,2.17,53.0,0.9,50.0,0.9,70.0
2490,Bruno Santos,14,2,0,0,"69""",1.18,2.27,56.0,3.0,37.0,0.3,87.5
2990,Bryan Barberena,14,5,0,0,"72""",4.98,3.71,49.0,0.34,40.0,0.3,73.68421
1810,Bryan Caraway,21,9,0,0,"68""",2.43,3.43,54.0,2.62,26.0,0.8,70.0
3374,Bubba Bush,8,3,0,1,"73""",0.63,7.01,25.0,2.82,50.0,0.0,66.666664
2231,Bubba McDaniel,21,8,0,0,"75""",1.64,1.98,56.0,0.93,50.0,1.4,72.413795
2025,Buddy Roberts,12,3,0,0,,2.17,2.08,70.0,0.0,0.0,0.7,80.0
1718,Byron Bloodworth,6,3,0,0,"69""",1.82,5.18,50.0,0.0,0.0,0.0,66.666664
1040,CB Dollaway,18,10,0,0,"76""",2.65,2.58,54.0,3.55,54.0,1.2,64.28571
1966,CJ Keith,8,2,0,0,,0.86,1.82,50.0,0.0,0.0,0.0,80.0
3780,CM Punk,0,2,0,0,"73""",1.1,4.87,40.0,0.87,11.0,0.0,0.0
3101,Cain Carrizosa,6,2,0,0,"74""",2.72,5.8,51.0,0.0,0.0,0.0,75.0
951,Cain Velasquez,14,2,0,0,"77""",6.38,2.29,57.0,5.15,45.0,0.4,87.5
1958,Caio Magalhaes,9,3,0,0,"73""",2.27,2.78,56.0,1.05,15.0,1.6,75.0
954,Cale Yarbrough,8,3,0,0,,3.16,10.0,72.0,0.0,0.0,0.0,72.72726999999999
4311,Calvin Kattar,19,3,0,0,"72""",5.03,6.66,55.0,0.67,33.0,0.0,86.36364
